seed,optimizer,physical_objective,penalty_value,total_objective,physical_fraction,penalty_fraction,is_penalty_dominated,is_feasible,domain_status
248,PSO,3.2758,0.0,3.2758266409069576,1.0,0.0,False,True,VALID
285,PSO,3.2929,0.0,3.292871961112825,1.0,0.0,False,True,VALID
322,PSO,3.2758,0.0,3.275826821561296,1.0,0.0,False,True,VALID
359,PSO,3.2758,0.0,3.2758322018628254,1.0,0.0,False,True,VALID
396,PSO,3.2758,0.0,3.275826836275358,1.0,0.0,False,True,VALID
433,PSO,3.2758,0.0,3.275827222710906,1.0,0.0,False,True,VALID
470,PSO,3.2758,0.0,3.2758357053572027,1.0,0.0,False,True,VALID
507,PSO,3.2929,0.0,3.292867887296432,1.0,0.0,False,True,VALID
544,PSO,3.2758,0.0,3.275830199603789,1.0,0.0,False,True,VALID
581,PSO,3.2758,0.0,3.2758379903263366,1.0,0.0,False,True,VALID
618,PSO,3.2758,0.0,3.2758270312713296,1.0,0.0,False,True,VALID
655,PSO,3.2758,0.0,3.275827797124309,1.0,0.0,False,True,VALID
692,PSO,3.2758,0.0,3.2758288105459408,1.0,0.0,False,True,VALID
729,PSO,3.2759,0.0,3.2758528434593184,1.0,0.0,False,True,VALID
766,PSO,3.2758,0.0,3.2758324458238097,1.0,0.0,False,True,VALID
803,PSO,3.2758,0.0,3.275828588600656,1.0,0.0,False,True,VALID
840,PSO,3.2758,0.0,3.275834420753532,1.0,0.0,False,True,VALID
877,PSO,3.2758,0.0,3.275829463609534,1.0,0.0,False,True,VALID
914,PSO,3.2758,0.0,3.275826903326113,1.0,0.0,False,True,VALID
951,PSO,3.2758,0.0,3.275827181486857,1.0,0.0,False,True,VALID
988,PSO,3.2758,0.0,3.2758277652182097,1.0,0.0,False,True,VALID
1025,PSO,3.2758,0.0,3.2758295070947616,1.0,0.0,False,True,VALID
1062,PSO,3.2758,0.0,3.2758300055800795,1.0,0.0,False,True,VALID
1099,PSO,3.2758,0.0,3.2758271874623395,1.0,0.0,False,True,VALID
1136,PSO,3.2929,0.0,3.2928707639277235,1.0,0.0,False,True,VALID
1173,PSO,3.2758,0.0,3.275828075906626,1.0,0.0,False,True,VALID
100,QPSO,3.2758,0.0,3.27582720249914,1.0,0.0,False,True,VALID
137,QPSO,3.2758,0.0,3.275826734858464,1.0,0.0,False,True,VALID
174,QPSO,3.2758,0.0,3.2758266503978297,1.0,0.0,False,True,VALID
211,QPSO,3.2758,0.0,3.2758265733124685,1.0,0.0,False,True,VALID
248,QPSO,3.2758,0.0,3.275826656176162,1.0,0.0,False,True,VALID
285,QPSO,3.2758,0.0,3.2758270688365423,1.0,0.0,False,True,VALID
322,QPSO,3.2758,0.0,3.275828127585896,1.0,0.0,False,True,VALID
359,QPSO,3.2758,0.0,3.275827591332604,1.0,0.0,False,True,VALID
396,QPSO,3.2758,0.0,3.275826650970945,1.0,0.0,False,True,VALID
433,QPSO,3.2758,0.0,3.275826702216777,1.0,0.0,False,True,VALID
470,QPSO,3.2758,0.0,3.27582657649923,1.0,0.0,False,True,VALID
507,QPSO,3.2758,0.0,3.2758266555915823,1.0,0.0,False,True,VALID
544,QPSO,3.2758,0.0,3.2758266625319576,1.0,0.0,False,True,VALID
581,QPSO,3.2758,0.0,3.27582674591329,1.0,0.0,False,True,VALID
618,QPSO,3.2758,0.0,3.275826715076561,1.0,0.0,False,True,VALID
