optimizer,seed,speed_knots,fuel_type,total_fuel_tonnes,total_opex_usd,best_loss
GA,729,18.59,bio_methanol,195.97,213258.35,115003.2931161059
DE,729,18.59,bio_methanol,195.95,210402.33,115003.27582664909
Random_Search,729,18.45,bio_methanol,197.39,211947.47,115003.29988349558
QPSO,766,18.59,bio_methanol,195.95,210402.32,115003.27582657649
PSO,766,18.59,bio_methanol,195.95,210402.7,115003.27583244584
GA,766,18.59,bio_methanol,195.96,210416.91,115003.2760536585
DE,766,18.59,bio_methanol,195.95,210402.33,115003.27582665098
Random_Search,766,18.58,bio_methanol,196.05,210503.65,115003.27740412034
QPSO,803,18.59,bio_methanol,195.95,210402.33,115003.2758266518
PSO,803,18.59,bio_methanol,195.95,210402.45,115003.2758285886
GA,803,18.59,bio_methanol,195.95,210403.23,115003.2758407691
DE,803,18.59,bio_methanol,195.95,210402.32,115003.27582656904
Random_Search,803,18.57,bio_methanol,196.23,210705.53,115003.28054737304
QPSO,840,18.59,bio_methanol,195.95,210402.4,115003.27582773373
PSO,840,18.59,bio_methanol,195.95,210402.83,115003.27583442075
GA,840,18.59,bio_methanol,195.96,210409.52,115003.27593858914
DE,840,18.59,bio_methanol,195.95,210402.32,115003.2758265725
Random_Search,840,18.58,bio_methanol,196.07,210527.59,115003.2777768998
QPSO,877,18.59,bio_methanol,195.95,210402.38,115003.27582748076
PSO,877,18.59,bio_methanol,195.95,210402.51,115003.27582946362
GA,877,18.59,bio_methanol,195.96,210416.02,115003.27603985436
DE,877,18.59,bio_methanol,195.95,210402.33,115003.27582667807
Random_Search,877,18.55,bio_methanol,196.4,210882.96,115003.28330979074
QPSO,914,18.59,bio_methanol,195.95,210402.34,115003.27582690804
PSO,914,18.59,bio_methanol,195.95,210402.34,115003.27582690332
GA,914,18.59,bio_methanol,195.98,210428.37,115003.27623217236
DE,914,18.59,bio_methanol,195.95,210402.32,115003.27582656872
Random_Search,914,18.56,bio_methanol,196.3,210772.81,115003.28159482738
QPSO,951,18.59,bio_methanol,195.95,210402.35,115003.27582702844
PSO,951,18.59,bio_methanol,195.95,210402.36,115003.27582718148
GA,951,18.59,bio_methanol,196.01,210462.25,115003.27675958298
DE,951,18.59,bio_methanol,195.95,210402.32,115003.27582656778
Random_Search,951,18.49,bio_methanol,197.04,211574.91,115003.29408299417
QPSO,988,18.59,bio_methanol,195.95,210402.33,115003.27582666838
PSO,988,18.59,bio_methanol,195.95,210402.4,115003.27582776522
GA,988,18.59,bio_methanol,195.96,210410.98,115003.2759612969
DE,988,18.59,bio_methanol,195.95,210402.33,115003.27582674252
Random_Search,988,18.58,bio_methanol,196.13,210589.86,115003.27874646569
QPSO,1025,18.59,bio_methanol,195.95,210402.32,115003.27582657742
PSO,1025,18.59,bio_methanol,195.95,210402.51,115003.2758295071
GA,1025,18.58,bio_methanol,196.05,210512.64,115003.27754416892
DE,1025,18.59,bio_methanol,195.95,210402.32,115003.27582657256
Random_Search,1025,18.58,bio_methanol,196.05,210513.23,115003.27755331252
QPSO,1062,18.59,bio_methanol,195.95,210402.33,115003.27582665146
PSO,1062,18.59,bio_methanol,195.95,210402.54,115003.2758300056
GA,1062,18.59,bio_methanol,195.95,210402.34,115003.27582685776
DE,1062,18.59,bio_methanol,195.95,210402.32,115003.27582657222
Random_Search,1062,18.58,bio_methanol,196.04,210500.45,115003.27735431751
QPSO,1099,18.59,bio_methanol,195.95,210402.33,115003.27582664342
PSO,1099,18.59,bio_methanol,195.95,210402.36,115003.27582718746
GA,1099,18.59,bio_methanol,195.98,210429.34,115003.27624721044
DE,1099,18.59,bio_methanol,195.95,210402.32,115003.27582657256
Random_Search,1099,18.59,bio_methanol,196.01,210465.78,115003.27681462812
QPSO,1136,18.59,bio_methanol,195.95,210402.33,115003.27582668603
PSO,1136,18.59,bio_methanol,195.95,213242.59,115003.29287076392
GA,1136,18.59,bio_methanol,195.98,210430.69,115003.27626821646
DE,1136,18.59,bio_methanol,195.95,210402.32,115003.2758265798
Random_Search,1136,18.56,bio_methanol,196.32,210797.2,115003.2819744994
QPSO,1173,18.59,bio_methanol,195.95,210402.32,115003.27582658063
PSO,1173,18.59,bio_methanol,195.95,210402.42,115003.2758280759
GA,1173,18.59,bio_methanol,195.96,210409.48,115003.27593810884
DE,1173,18.59,bio_methanol,195.95,210402.32,115003.27582657724
Random_Search,1173,18.53,bio_methanol,196.63,211130.9,115003.28717003988
