algorithm,seed,feasibility,best_penalty_free,fitness,best_penalty,fuel_tonnes,cost_usd,ghg_tonnes,delay_hours,feasible_evaluations,penalty_free_evaluations,unique_solutions,nondominated_penalty_free,pf_min_fuel_tonnes,pf_min_cost_usd,pf_min_ghg_tonnes,runtime_seconds,evaluations
NSGA_III,1011,1.0,False,107074.3507,107069.02,245.97,308820.99,620.6,52.29,2,0,2497,0,,,,0.452,2500
NSGA_III,1012,1.0,True,4.8915,0.0,250.58,256725.52,663.15,0.0,1939,444,2498,2,247.02,251471.46,663.15,1.861,2500
NSGA_III,1013,1.0,True,4.8775,0.0,249.68,255749.31,662.23,0.0,2032,1791,2500,3,246.15,250542.85,631.7,1.927,2500
NSGA_III,1014,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2500,0,,,,0.455,2500
NSGA_III,1015,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2498,0,,,,0.476,2500
NSGA_III,1016,1.0,True,4.8575,0.0,245.41,254615.08,641.18,0.0,1794,1024,2496,6,241.68,248978.32,640.22,1.793,2500
NSGA_III,1017,1.0,True,3.992,0.0,177.31,173597.83,728.15,0.0,1886,1572,2500,5,177.28,173571.56,621.59,1.792,2500
NSGA_III,1018,1.0,False,12957.4595,12949.37,450.66,491597.35,671.55,6.04,39,0,2499,0,,,,0.471,2500
NSGA_III,1019,1.0,True,4.266,0.0,206.31,205602.89,650.76,0.0,1901,1189,2498,4,202.76,200380.11,650.69,1.653,2500
NSGA_III,1020,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2493,0,,,,0.404,2500
NSGA_III,1021,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2497,0,,,,0.42,2500
NSGA_III,1022,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2498,0,,,,0.44,2500
NSGA_III,1023,1.0,True,4.2695,0.0,206.52,205811.13,651.44,0.0,2131,1890,2496,17,203.0,200637.82,610.98,1.896,2500
NSGA_III,1024,1.0,True,4.2852,0.0,206.67,207903.33,651.91,0.0,2120,957,2496,5,203.16,202715.4,622.66,1.979,2500
