model,seed,vessel,split,R2,MAE,RMSE,MAPE,sMAPE,Median_AE,P95_error,max_error,bias,training_time,inference_latency,memory_mb,physical_violations
P0 (Physics Only),1024,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P0 (Physics Only),1025,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P0 (Physics Only),1026,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P0 (Physics Only),1027,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P0 (Physics Only),1028,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P0 (Physics Only),1029,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P1 (Pure Classical ML),42,Combined Fleet,Chronological Test (20%),0.9400085915217858,263.85855849201675,485.9969880320385,15.68419899435243,15.686510701719769,138.1089940600682,1162.7837366156343,3849.1938605060313,-146.18248509948498,2.39,0.02,45.0,0
P2 (Physics + ML Residual),42,Combined Fleet,Chronological Test (20%),0.950252682005062,246.90833830202428,442.56175883484445,14.57033900998042,14.395635656144387,129.18886367996822,1114.192971740841,3892.922745600789,-142.8542912491895,2.42,0.02,46.0,0
P1 (Pure Classical ML),1001,Combined Fleet,Chronological Test (20%),0.9430253152000952,249.98912829167372,473.6199789100217,14.97261187576192,15.07396148756705,126.34059583277462,1146.1338810765408,3815.7835380513575,-140.15827116616435,2.23,0.02,45.0,0
P2 (Physics + ML Residual),1001,Combined Fleet,Chronological Test (20%),0.9513110606495484,243.2352647409731,437.8286787981291,14.647869563076656,14.410346729386784,130.01867022647446,1084.8712231305294,3901.540149303096,-133.5015214348939,1.92,0.02,46.0,0
P1 (Pure Classical ML),1002,Combined Fleet,Chronological Test (20%),0.9403669656094252,263.9710473219518,484.5431997159759,15.747136652872683,15.66767745325246,138.5013779963615,1163.6385853514316,3831.20730988539,-145.36355755438316,1.74,0.02,45.0,0
P2 (Physics + ML Residual),1002,Combined Fleet,Chronological Test (20%),0.9494583327542628,253.5365363779093,446.0811077702407,15.307282444852548,15.162638448927538,137.01697795024444,1101.7748733259257,3897.340903800182,-147.48870836817358,1.7,0.02,46.0,0
P1 (Pure Classical ML),1003,Combined Fleet,Chronological Test (20%),0.9427069929335626,251.67102131275695,474.94121297640754,14.854869141122748,14.806166373670187,126.702357405021,1132.7699153996705,3861.889772906156,-136.79986291108833,2.71,0.02,45.0,0
P2 (Physics + ML Residual),1003,Combined Fleet,Chronological Test (20%),0.9507514646784672,246.5432100332864,440.3375360480561,14.565137467804856,14.372108801043003,130.85924724448188,1098.3612370643684,3837.286176925929,-138.06846267265038,2.44,0.02,46.0,0
P1 (Pure Classical ML),1004,Combined Fleet,Chronological Test (20%),0.9411823892151094,257.4289196547744,481.21896877239374,15.11133857842588,15.11782899432582,134.48584173316976,1134.6817868529572,3863.4166593193168,-152.01254446465538,2.26,0.02,45.0,0
P2 (Physics + ML Residual),1004,Combined Fleet,Chronological Test (20%),0.949703870255638,251.549755090298,444.9962307000194,15.027714783041771,14.92795004442485,136.46841424562064,1098.1339253060278,3909.9260727060064,-144.05152339412436,2.09,0.02,46.0,0
P1 (Pure Classical ML),1005,Combined Fleet,Chronological Test (20%),0.9398995065087618,259.2153105357498,486.4386421882686,15.249908297971515,15.18619641190838,133.878057727827,1160.0266312918443,3893.44488107342,-157.664434181349,1.9,0.02,45.0,0
P2 (Physics + ML Residual),1005,Combined Fleet,Chronological Test (20%),0.9496758574597634,251.52786480631772,445.12013539628566,14.912536473684847,14.899651615375454,137.2989080257969,1105.3250797342307,3878.707376076668,-144.22747643917413,2.02,0.02,46.0,0
P1 (Pure Classical ML),1006,Combined Fleet,Chronological Test (20%),0.9422681284661688,251.2254866283478,476.75676780489454,14.927062200529756,14.975271809947852,123.9064850676919,1162.0701576479578,3910.652657835481,-142.90870085146756,1.66,0.02,45.0,0
