optimizer,seed,term_fuel_weighted_norm,term_cost_weighted_norm,term_ghg_weighted_norm,term_delay_weighted_norm,term_risk_weighted_norm,penalty_value,calculated_objective,reported_objective,reconstruction_absolute_error
Random_Search,322,1.3724899999999998,1.2632091599999997,0.55135,0.0,0.09079999999999999,0.0,3.2778491599999997,3.2778901098201945,4.094982019475779e-05
Random_Search,359,1.37438,1.2649186199999998,0.5520833333333334,0.0,0.09093333333333334,0.0,3.282315286666667,3.2823260147706605,1.0728103993606908e-05
Random_Search,396,1.37417,1.2647419199999999,0.5520166666666666,0.0,0.09093333333333334,0.0,3.2818619200000003,3.281867406531297,5.486531296838848e-06
Random_Search,433,1.3730499999999999,1.26371454,0.5515666666666666,0.0,0.09086666666666668,0.0,3.279197873333333,3.2792015621499906,3.6888166574655656e-06
Random_Search,470,1.3761999999999999,1.2836282999999997,0.5528166666666666,0.0,0.09106666666666667,0.0,3.303711633333333,3.303698664208228,1.2969125104955737e-05
Random_Search,507,1.37284,1.26348624,0.5514666666666667,0.0,0.09083333333333334,0.0,3.27862624,3.278609044995535,1.7195004464731767e-05
Random_Search,544,1.37431,1.26482598,0.55205,0.0,0.09093333333333334,0.0,3.2821193133333333,3.2820855279052563,3.378542807697116e-05
Random_Search,581,1.37312,1.26375318,0.5515833333333333,0.0,0.09086666666666668,0.0,3.27932318,3.279301849078493,2.1330921506912404e-05
Random_Search,618,1.37739,1.26767784,0.5533,0.0,0.09113333333333334,0.0,3.2895011733333335,3.2894858121968342,1.5361136499247863e-05
Random_Search,655,1.37984,1.2699716399999998,0.5543,0.0,0.0913,0.0,3.2954116399999998,3.2954380530944976,2.641309449780138e-05
Random_Search,692,1.3738199999999998,1.26439542,0.5518666666666667,0.0,0.09090000000000001,0.0,3.2809820866666666,3.2809682779403286,1.3808726337938282e-05
Random_Search,729,1.3817299999999997,1.27168482,0.5550499999999999,0.0,0.09143333333333334,0.0,3.299898153333333,3.2998834955782805,1.4657755052382981e-05
Random_Search,766,1.37235,1.2630218999999998,0.5512666666666667,0.0,0.09079999999999999,0.0,3.2774385666666666,3.27740412033399,3.444633267646324e-05
Random_Search,803,1.3736099999999998,1.26423318,0.5518,0.0,0.09090000000000001,0.0,3.28054318,3.280547373025743,4.193025743060019e-06
Random_Search,840,1.3724899999999998,1.26316554,0.5513333333333333,0.0,0.09079999999999999,0.0,3.277788873333333,3.2777768997962355,1.1973537097365039e-05
Random_Search,877,1.3747999999999998,1.26529776,0.55225,0.0,0.09096666666666667,0.0,3.2833144266666663,3.283309790744292,4.6359223744296685e-06
Random_Search,914,1.3740999999999999,1.26463686,0.5519666666666667,0.0,0.09093333333333334,0.0,3.2816368600000003,3.281594827376962,4.2032623038146255e-05
Random_Search,951,1.3792799999999998,1.26944946,0.5540666666666667,0.0,0.09126666666666666,0.0,3.2940627933333335,3.294082994148145,2.0200814811577317e-05
